accx,accy,accz,grox,groy,groz,magx,magy,magz,count
-32,104,7192,96,685,-486,0,0,0,509
-40,48,7116,74,693,-569,0,0,0,510
-12,132,7152,55,733,-564,0,0,0,511
-60,72,7044,78,709,-549,0,0,0,512
12,148,7084,114,640,-519,0,0,0,513
-56,124,7164,51,696,-517,0,0,0,514
-4,12,7148,76,688,-485,0,0,0,515
-24,36,7172,129,693,-450,0,0,0,516
-48,76,7188,45,629,-491,0,0,0,517
-20,44,7136,66,667,-457,0,0,0,518
-8,88,7116,40,670,-510,0,0,0,519
-28,144,7168,110,723,-460,0,0,0,520
-24,72,7224,59,736,-464,0,0,0,521
-72,52,7088,42,702,-478,0,0,0,522
-72,24,7132,78,669,-488,0,0,0,523
-24,84,7144,80,682,-528,0,0,0,524
-32,32,7128,66,667,-582,0,0,0,525
-96,84,7132,95,690,-484,0,0,0,526
-44,100,7132,142,701,-488,0,0,0,527
-60,84,7212,28,625,-560,0,0,0,528
-68,124,7208,60,673,-557,0,0,0,529
-64,72,7044,42,682,-553,0,0,0,530
-36,136,7096,35,648,-526,0,0,0,531
-24,40,7092,49,724,-497,0,0,0,532
-60,136,7204,103,673,-512,0,0,0,533
-100,96,7128,78,681,-493,0,0,0,534
-60,60,7072,50,668,-514,0,0,0,535
16,116,7228,76,690,-497,0,0,0,536
-36,124,7172,50,672,-507,0,0,0,537
-84,140,7160,81,640,-536,0,0,0,538
-80,100,7108,80,641,-510,0,0,0,539
-44,136,7152,56,672,-559,0,0,0,540
-24,72,7188,98,672,-441,0,0,0,541
-4,84,7092,82,693,-507,0,0,0,542
-64,60,7088,93,698,-493,0,0,0,543
-40,56,7196,67,687,-571,0,0,0,544
-36,40,7092,47,713,-604,0,0,0,545
4,124,7200,106,648,-519,0,0,0,546
4,116,7132,60,704,-503,0,0,0,547
-52,108,7140,59,622,-472,0,0,0,548
-56,56,7100,110,659,-484,0,0,0,549
-40,92,7140,73,665,-472,0,0,0,550
4,64,7176,116,692,-519,0,0,0,551
-60,52,7108,60,716,-527,0,0,0,552
-72,-12,7156,11,670,-522,0,0,0,553
-4,112,7108,108,720,-493,0,0,0,554
-36,108,7064,78,694,-550,0,0,0,555
-36,148,7232,108,669,-513,0,0,0,556
-112,112,7148,43,627,-469,0,0,0,557
-12,124,7080,75,698,-472,0,0,0,558
-76,112,7160,54,714,-465,0,0,0,559
-96,136,7184,80,708,-555,0,0,0,560
-60,84,7196,97,677,-510,0,0,0,561
-52,72,7164,57,671,-530,0,0,0,562
-68,100,7140,66,684,-494,0,0,0,563
-104,112,7132,49,736,-491,0,0,0,564
